# burn-truth.csv — the FROZEN per-spell OptionBurn ground truth, plan 10-09
# 
# measured: 2026-07-27   git commit: 4645257
# command: econometrics burn-truth --endpoint https://api.goldsky.com/api/public/project_cl9gc21q105380hxuh8ks53k3/subgraphs/panoptic-subgraph-base/dev/gn --pool 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a
# subgraph endpoint: https://api.goldsky.com/api/public/project_cl9gc21q105380hxuh8ks53k3/subgraphs/panoptic-subgraph-base/dev/gn (keyless public Goldsky; no API key used)
# underlying pool (V4 poolId): 0x96d4b53a38337a5733179751781178a2613306063c511b78cd02684739288c0a
# population: notes/structural-econometrcics/data/panel.csv (55 tokenIds)
# 
# WHY THIS FILE EXISTS. The 10-08 anti-fabrication review recorded one
# limitation it could not close: truth_wei — the protocol's own
# OptionBurn.premium0, the quantity the reconciliation gate is scored
# AGAINST — was fetched live at reconcile time and materialised only in
# reconcile-errors.csv, which is the gate's OUTPUT. A ground truth that
# exists only inside the artifact it validates cannot be independently
# re-checked. This file is that ground truth as a committed INPUT.
# 
# UNIT: RawWei — determined by Panel.Reconcile.
#   classifyGroundTruthUnit over these same burns, the SAME classifier the
#   gate used; never assumed here.
#   truthWei = round(premium0)                -- premium0 is ALREADY raw 18-decimal units
# max |premium0| = 17640586041163 wei, BELOW 2^53 = 9007199254740992,
#   so the subgraph BigInt -> Double -> Integer round-trip is EXACT
#   on every row of this population.
# 
# CROSS-CHECK: summed per tokenId, this file reproduces reconcile-errors.csv
#   truth_wei with TRUTH_MISMATCHES = 0 over 55 tokenIds.
# 
# SIGN CONVENTION: as the protocol emits it — POSITIVE for short positions
#   (the seller receives), NEGATIVE for long ones (the buyer pays). No
#   seller-side flip is applied here; premium_usd in panel.csv applies one.
# premium0_wei / premium1_wei are raw 18-decimal (ETH) and 6-decimal (USDC)
#   token units respectively. premium0 is the gate's ground truth: 61 burns
#   carry a non-zero premium0 against 38 non-zero premium1.
token_id,account,mint_block,burn_block,mint_timestamp,burn_timestamp,premium0_wei,premium1_wei,position_size,is_long,leg_count
13928819111789696379952065711114,0xb28c04c6e4f234225e62ac72111075ff77746558,47818629,48093331,1782426605,1782976009,48636641935,73,5671689603391,0,1
13928847823777912227394964982794,0xb28c04c6e4f234225e62ac72111075ff77746558,47714385,47818629,1782218117,1782426605,718056392185,1024,138804243679986,0,1
13928847828500278710264610196490,0xb28c04c6e4f234225e62ac72111075ff77746558,47714385,47818629,1782218117,1782426605,-380147501744,-542,69402121839993,1,1
13928856890721559337113775279114,0xb28c04c6e4f234225e62ac72111075ff77746558,48093331,48109414,1782976009,1783008175,1499290138,1,4848129957601,0,1
13928862935350657410259648809994,0xb28c04c6e4f234225e62ac72111075ff77746558,47342678,47507537,1781474703,1781804421,2198627894,2,4136524388208,0,1
13928862940073023893129294023690,0xb28c04c6e4f234225e62ac72111075ff77746558,47342678,47507537,1781474703,1781804421,-1163979473,0,2068262194104,1,1
13928864455971111638359117171722,0xb28c04c6e4f234225e62ac72111075ff77746558,47818629,48093331,1782426605,1782976009,76256917263,122,11044,0,1
13928865211549748897502351363082,0xb28c04c6e4f234225e62ac72111075ff77746558,48093331,48109414,1782976009,1783008175,994177330,2,3301,0,1
13928867468822480965119053958154,0xb28c04c6e4f234225e62ac72111075ff77746558,47703297,47714174,1782195941,1782217695,13604763017,21,125165977125346,0,1
13928867473544847447988699171850,0xb28c04c6e4f234225e62ac72111075ff77746558,47703297,47714174,1782195941,1782217695,-7202521597,-11,62582988562673,1,1
13928870491137030001691990723594,0xb28c04c6e4f234225e62ac72111075ff77746558,47714385,47818629,1782218117,1782426605,642777340353,995,69402121839993,0,1
13928877300807945043794098424842,0xb28c04c6e4f234225e62ac72111075ff77746558,48093331,48109414,1782976009,1783008175,9607539145,19,6602,0,1
13928877305530311526663743638538,0xb28c04c6e4f234225e62ac72111075ff77746558,48093331,48109414,1782976009,1783008175,-5086344253,-10,3301,1,1
13928881069237951629697269402634,0xb28c04c6e4f234225e62ac72111075ff77746558,47714174,47714385,1782217695,1782218117,7151835272,8,65198804614333,0,1
13928885602709775184556674550794,0xb28c04c6e4f234225e62ac72111075ff77746558,47342678,47507537,1781474703,1781804421,1918515357,2,2068262194104,0,1
13928890136181598739416079698954,0xb28c04c6e4f234225e62ac72111075ff77746558,47703297,47714174,1782195941,1782217695,76677612971,91,62582988562673,0,1
13928891647338873257702548081674,0xb28c04c6e4f234225e62ac72111075ff77746558,47694045,47703297,1782177437,1782195941,43263719609,45,62438366118012,0,1
13928893158496147775989016464394,0xb28c04c6e4f234225e62ac72111075ff77746558,48109414,48110182,1783008175,1783009711,2150673791,1,4358710088422,0,1
13928893914074785035132250655754,0xb28c04c6e4f234225e62ac72111075ff77746558,48111367,48113190,1783012081,1783015727,894899682,0,3530756829432,0,1
13928894669653422294275484847114,0xb28c04c6e4f234225e62ac72111075ff77746558,48113190,48115012,1783015727,1783019371,82843884,0,3177884127302,0,1
13928894669653422294275484847114,0xb28c04c6e4f234225e62ac72111075ff77746558,48115012,48116823,1783019371,1783022993,919360486,0,2860276916570,0,1
13928894669653422294275484847114,0xb28c04c6e4f234225e62ac72111075ff77746558,48116823,48118666,1783022993,1783026679,587950043,0,2574403749346,0,1
13928896180810696812561953229834,0xb28c04c6e4f234225e62ac72111075ff77746558,48118666,48138958,1783026679,1783067263,3363459397,4,1621964437114,0,1
13928896945852513781518187400202,0xb28c04c6e4f234225e62ac72111075ff77746558,48110182,48111367,1783009711,1783012081,60288162,0,294,0,1
13928901479324337336377592548362,0xb28c04c6e4f234225e62ac72111075ff77746558,48109414,48110182,1783008175,1783009711,28776357,0,987,0,1
13928902234902974595520826739722,0xb28c04c6e4f234225e62ac72111075ff77746558,48111367,48113190,1783012081,1783015727,9731965,0,87,0,1
13928902234902974595520826739722,0xb28c04c6e4f234225e62ac72111075ff77746558,48113190,48115012,1783015727,1783019371,4657427,0,25,0,1
13928902990481611854664060931082,0xb28c04c6e4f234225e62ac72111075ff77746558,48115012,48116823,1783019371,1783022993,851616,0,7,0,1
13928902990481611854664060931082,0xb28c04c6e4f234225e62ac72111075ff77746558,48116823,48118666,1783022993,1783026679,68134,0,1,0,1
13928904501638886372950529313802,0xb28c04c6e4f234225e62ac72111075ff77746558,48118666,48138958,1783026679,1783067263,23025484918,45,14288,0,1
13928905247754343922280763526154,0xb28c04c6e4f234225e62ac72111075ff77746558,48140835,48142625,1783071017,1783074597,57146686,0,644866900886,0,1
13928908270068892958853700291594,0xb28c04c6e4f234225e62ac72111075ff77746558,48152243,48154116,1783093833,1783097579,49044577,0,296077183627,0,1
13928909025647530217996934482954,0xb28c04c6e4f234225e62ac72111075ff77746558,48146330,48148390,1783082007,1783086127,6779769,0,365561218089,0,1
